staff_id,lms_off_hours_activity_ratio,schedule_fragmentation_index,days_since_last_leave,average_response_latency_hours
UTB-FAC-2026-001,0.0,0.763,49,2.3
UTB-FAC-2026-002,0.0,0.21,31,0.79
UTB-FAC-2026-003,0.294,0.305,74,0.18
UTB-FAC-2026-004,0.0,0.181,27,2.73
UTB-FAC-2026-005,0.213,0.458,95,0.05
UTB-FAC-2026-006,0.27,0.353,124,2.77
UTB-FAC-2026-007,0.17,0.698,26,3.11
UTB-FAC-2026-008,0.209,0.573,40,1.37
UTB-FAC-2026-009,0.182,0.43,129,3.32
UTB-FAC-2026-010,0.136,0.157,76,0.95
UTB-FAC-2026-011,0.196,0.257,47,0.63
UTB-FAC-2026-012,0.183,0.122,38,1.35
UTB-FAC-2026-013,0.188,0.357,65,0.28
UTB-FAC-2026-014,0.206,0.861,75,4.22
UTB-FAC-2026-015,0.288,0.447,125,0.0
UTB-FAC-2026-016,0.027,0.322,250,1.93
UTB-FAC-2026-017,0.225,0.886,6,4.01
UTB-FAC-2026-018,0.235,0.715,24,3.34
UTB-FAC-2026-019,0.16,0.719,145,2.81
UTB-FAC-2026-020,0.0,0.473,17,0.2
UTB-FAC-2026-021,0.289,0.382,38,1.28
UTB-FAC-2026-022,0.0,0.259,54,5.23
UTB-FAC-2026-023,0.214,0.791,17,4.63
UTB-FAC-2026-024,0.181,0.55,63,1.49
UTB-FAC-2026-025,0.0,0.502,74,3.37
UTB-FAC-2026-026,0.127,0.507,94,0.46
UTB-FAC-2026-027,0.264,0.353,6,0.5
UTB-FAC-2026-028,0.049,0.255,225,2.55
UTB-FAC-2026-029,0.304,0.489,31,2.8
UTB-FAC-2026-030,0.25,0.202,164,5.3
UTB-FAC-2026-031,0.274,0.76,81,0.39
UTB-FAC-2026-032,0.018,0.45,54,0.79
UTB-FAC-2026-033,0.15,0.831,151,0.98
UTB-FAC-2026-034,0.023,0.759,5,0.05
UTB-FAC-2026-035,0.016,0.394,63,0.64
UTB-FAC-2026-036,0.193,0.246,51,4.21
UTB-FAC-2026-037,0.141,0.445,18,0.23
UTB-FAC-2026-038,0.263,0.717,26,0.59
UTB-FAC-2026-039,0.103,0.574,23,0.79
UTB-FAC-2026-040,0.432,0.285,18,3.2
UTB-FAC-2026-041,0.091,0.705,41,3.18
UTB-FAC-2026-042,0.086,0.351,57,1.97
UTB-FAC-2026-043,0.16,0.862,25,0.43
UTB-FAC-2026-044,0.042,0.418,114,2.62
UTB-FAC-2026-045,0.298,0.613,32,5.39
UTB-FAC-2026-046,0.075,0.571,20,0.2
UTB-FAC-2026-047,0.165,0.301,77,2.08
UTB-FAC-2026-048,0.24,0.316,16,0.41
UTB-FAC-2026-049,0.163,0.613,121,2.86
UTB-FAC-2026-050,0.161,0.768,39,9.39
UTB-FAC-2026-051,0.415,0.765,10,0.98
UTB-FAC-2026-052,0.391,0.862,25,4.56
UTB-FAC-2026-053,0.026,0.377,46,0.77
UTB-FAC-2026-054,0.276,0.8,46,6.42
UTB-FAC-2026-055,0.135,0.12,100,3.23
UTB-FAC-2026-056,0.021,0.709,12,0.11
UTB-FAC-2026-057,0.0,0.437,250,10.6
UTB-FAC-2026-058,0.232,0.848,112,1.31
UTB-FAC-2026-059,0.298,0.756,9,1.66
UTB-FAC-2026-060,0.0,0.148,55,6.87
UTB-FAC-2026-061,0.046,0.859,82,0.03
UTB-FAC-2026-062,0.214,0.29,26,0.22
UTB-FAC-2026-063,0.06,0.789,32,0.4
UTB-FAC-2026-064,0.297,0.479,13,2.0
UTB-FAC-2026-065,0.379,0.61,16,0.13
UTB-FAC-2026-066,0.356,0.194,68,0.3
UTB-FAC-2026-067,0.255,0.401,17,0.96
UTB-FAC-2026-068,0.0,0.814,83,2.06
UTB-FAC-2026-069,0.261,0.818,25,2.36
UTB-FAC-2026-070,0.246,0.595,22,11.5
UTB-FAC-2026-071,0.199,0.232,8,1.16
UTB-FAC-2026-072,0.361,0.699,26,2.33
UTB-FAC-2026-073,0.154,0.64,11,10.07
UTB-FAC-2026-074,0.138,0.47,16,1.26
UTB-FAC-2026-075,0.379,0.696,71,0.34
UTB-FAC-2026-076,0.094,0.204,11,2.58
UTB-FAC-2026-077,0.069,0.204,62,5.01
UTB-FAC-2026-078,0.376,0.699,154,0.98
UTB-FAC-2026-079,0.062,0.596,31,4.07
UTB-FAC-2026-080,0.171,0.742,71,3.49
UTB-FAC-2026-081,0.378,0.529,136,5.5
UTB-FAC-2026-082,0.052,0.762,5,4.15
UTB-FAC-2026-083,0.439,0.722,134,1.91
UTB-FAC-2026-084,0.203,0.481,14,1.46
UTB-FAC-2026-085,0.326,0.27,15,3.26
UTB-FAC-2026-086,0.231,0.1,18,0.09
UTB-FAC-2026-087,0.253,0.414,41,6.22
UTB-FAC-2026-088,0.0,0.476,94,0.33
UTB-FAC-2026-089,0.086,0.11,51,2.74
UTB-FAC-2026-090,0.233,0.59,6,1.17
UTB-FAC-2026-091,0.13,0.65,100,12.05
UTB-FAC-2026-092,0.095,0.241,127,2.2
UTB-FAC-2026-093,0.214,0.693,23,1.39
UTB-FAC-2026-094,0.004,0.118,118,4.36
UTB-FAC-2026-095,0.024,0.216,76,2.06
UTB-FAC-2026-096,0.382,0.249,86,14.17
UTB-FAC-2026-097,0.214,0.845,20,2.5
UTB-FAC-2026-098,0.187,0.864,17,3.61
UTB-FAC-2026-099,0.265,0.64,190,4.58
UTB-FAC-2026-100,0.161,0.112,139,0.77
UTB-FAC-2026-101,0.13,0.475,44,8.31
UTB-FAC-2026-102,0.079,0.665,74,0.15
UTB-FAC-2026-103,0.173,0.83,49,0.04
UTB-FAC-2026-104,0.159,0.324,8,0.11
UTB-FAC-2026-105,0.096,0.718,250,1.39
UTB-FAC-2026-106,0.077,0.429,135,0.94
UTB-FAC-2026-107,0.162,0.122,72,2.48
UTB-FAC-2026-108,0.057,0.35,31,4.43
UTB-FAC-2026-109,0.104,0.666,60,0.41
UTB-FAC-2026-110,0.091,0.785,39,5.28
UTB-FAC-2026-111,0.23,0.486,250,0.47
UTB-FAC-2026-112,0.353,0.68,19,1.24
UTB-FAC-2026-113,0.128,0.852,19,0.07
UTB-FAC-2026-114,0.185,0.667,42,0.28
UTB-FAC-2026-115,0.118,0.86,23,1.55
UTB-FAC-2026-116,0.346,0.525,114,2.39
UTB-FAC-2026-117,0.014,0.758,44,0.46
UTB-FAC-2026-118,0.194,0.616,22,0.31
UTB-FAC-2026-119,0.142,0.685,29,4.64
UTB-FAC-2026-120,0.445,0.204,35,11.46
