staff_id,snapshot_date,calculated_swu_total,burnout_risk_score,risk_tier
UTB-FAC-2026-001,2026-09-10,29.91,70.74,MODERATE
UTB-FAC-2026-002,2026-09-10,23.39,40.98,LOW
UTB-FAC-2026-003,2026-09-10,51.55,98.0,HIGH
UTB-FAC-2026-004,2026-09-10,24.37,49.34,LOW
UTB-FAC-2026-005,2026-09-10,34.44,85.01,HIGH
UTB-FAC-2026-006,2026-09-10,22.09,58.68,MODERATE
UTB-FAC-2026-007,2026-09-10,28.5,72.53,MODERATE
UTB-FAC-2026-008,2026-09-10,35.13,62.67,MODERATE
UTB-FAC-2026-009,2026-09-10,35.57,98.0,HIGH
UTB-FAC-2026-010,2026-09-10,37.43,66.96,MODERATE
UTB-FAC-2026-011,2026-09-10,26.89,63.47,MODERATE
UTB-FAC-2026-012,2026-09-10,30.95,69.3,MODERATE
UTB-FAC-2026-013,2026-09-10,30.07,75.86,HIGH
UTB-FAC-2026-014,2026-09-10,27.48,78.0,HIGH
UTB-FAC-2026-015,2026-09-10,32.03,78.04,HIGH
UTB-FAC-2026-016,2026-09-10,32.11,73.8,MODERATE
UTB-FAC-2026-017,2026-09-10,31.44,67.56,MODERATE
UTB-FAC-2026-018,2026-09-10,40.16,68.15,MODERATE
UTB-FAC-2026-019,2026-09-10,46.85,98.0,HIGH
UTB-FAC-2026-020,2026-09-10,22.79,44.47,LOW
UTB-FAC-2026-021,2026-09-10,54.0,89.38,HIGH
UTB-FAC-2026-022,2026-09-10,24.85,42.03,LOW
UTB-FAC-2026-023,2026-09-10,37.83,75.64,HIGH
UTB-FAC-2026-024,2026-09-10,30.24,64.32,MODERATE
UTB-FAC-2026-025,2026-09-10,36.85,80.01,HIGH
UTB-FAC-2026-026,2026-09-10,27.74,65.43,MODERATE
UTB-FAC-2026-027,2026-09-10,29.78,73.63,MODERATE
UTB-FAC-2026-028,2026-09-10,27.6,61.32,MODERATE
UTB-FAC-2026-029,2026-09-10,40.22,91.97,HIGH
UTB-FAC-2026-030,2026-09-10,33.07,78.57,HIGH
UTB-FAC-2026-031,2026-09-10,48.9,98.0,HIGH
UTB-FAC-2026-032,2026-09-10,21.08,50.3,MODERATE
UTB-FAC-2026-033,2026-09-10,35.19,92.23,HIGH
UTB-FAC-2026-034,2026-09-10,24.45,60.99,MODERATE
UTB-FAC-2026-035,2026-09-10,39.72,72.86,MODERATE
UTB-FAC-2026-036,2026-09-10,35.45,69.42,MODERATE
UTB-FAC-2026-037,2026-09-10,56.63,98.0,HIGH
UTB-FAC-2026-038,2026-09-10,37.5,69.73,MODERATE
UTB-FAC-2026-039,2026-09-10,22.5,76.57,HIGH
UTB-FAC-2026-040,2026-09-10,38.9,78.98,HIGH
UTB-FAC-2026-041,2026-09-10,34.72,65.98,MODERATE
UTB-FAC-2026-042,2026-09-10,24.37,47.23,LOW
UTB-FAC-2026-043,2026-09-10,42.72,98.0,HIGH
UTB-FAC-2026-044,2026-09-10,31.1,56.52,MODERATE
UTB-FAC-2026-045,2026-09-10,43.16,83.11,HIGH
UTB-FAC-2026-046,2026-09-10,27.11,60.75,MODERATE
UTB-FAC-2026-047,2026-09-10,37.63,65.63,MODERATE
UTB-FAC-2026-048,2026-09-10,39.77,88.08,HIGH
UTB-FAC-2026-049,2026-09-10,32.81,79.46,HIGH
UTB-FAC-2026-050,2026-09-10,31.73,66.9,MODERATE
UTB-FAC-2026-051,2026-09-10,47.84,87.96,HIGH
UTB-FAC-2026-052,2026-09-10,42.28,98.0,HIGH
UTB-FAC-2026-053,2026-09-10,18.93,37.53,LOW
UTB-FAC-2026-054,2026-09-10,39.39,86.65,HIGH
UTB-FAC-2026-055,2026-09-10,33.53,71.49,MODERATE
UTB-FAC-2026-056,2026-09-10,21.58,60.1,MODERATE
UTB-FAC-2026-057,2026-09-10,33.61,70.6,MODERATE
UTB-FAC-2026-058,2026-09-10,46.59,96.58,HIGH
UTB-FAC-2026-059,2026-09-10,43.04,98.0,HIGH
UTB-FAC-2026-060,2026-09-10,33.9,49.95,LOW
UTB-FAC-2026-061,2026-09-10,25.73,56.7,MODERATE
UTB-FAC-2026-062,2026-09-10,23.42,45.9,LOW
UTB-FAC-2026-063,2026-09-10,32.15,62.25,MODERATE
UTB-FAC-2026-064,2026-09-10,31.36,70.32,MODERATE
UTB-FAC-2026-065,2026-09-10,30.46,87.74,HIGH
UTB-FAC-2026-066,2026-09-10,28.42,60.94,MODERATE
UTB-FAC-2026-067,2026-09-10,43.43,74.13,MODERATE
UTB-FAC-2026-068,2026-09-10,29.02,65.71,MODERATE
UTB-FAC-2026-069,2026-09-10,41.85,80.88,HIGH
UTB-FAC-2026-070,2026-09-10,24.78,76.18,HIGH
UTB-FAC-2026-071,2026-09-10,42.33,66.07,MODERATE
UTB-FAC-2026-072,2026-09-10,45.62,91.82,HIGH
UTB-FAC-2026-073,2026-09-10,36.54,76.04,HIGH
UTB-FAC-2026-074,2026-09-10,29.01,83.02,HIGH
