log_id,staff_id,semester_week,assigned_teaching_hours_week,total_students_enrolled,module_preparation_count,assessment_grading_backlog,committee_admin_hours_week,current_supervised_students
LOG-2026-0001,UTB-FAC-2026-001,6,6.3,220,2,83,2.7,8
LOG-2026-0002,UTB-FAC-2026-002,5,8.4,156,3,19,3.3,4
LOG-2026-0003,UTB-FAC-2026-003,4,17.7,274,3,145,2.0,6
LOG-2026-0004,UTB-FAC-2026-004,8,6.3,143,2,73,1.4,2
LOG-2026-0005,UTB-FAC-2026-005,9,18.1,123,2,20,7.3,5
LOG-2026-0006,UTB-FAC-2026-006,8,12.2,258,1,39,1.3,1
LOG-2026-0007,UTB-FAC-2026-007,6,10.6,150,1,72,2.0,6
LOG-2026-0008,UTB-FAC-2026-008,7,21.9,98,2,43,1.6,1
LOG-2026-0009,UTB-FAC-2026-009,5,6.9,194,2,95,7.4,7
LOG-2026-0010,UTB-FAC-2026-010,2,20.3,177,2,23,7.1,6
LOG-2026-0011,UTB-FAC-2026-011,8,7.7,196,1,49,4.8,11
LOG-2026-0012,UTB-FAC-2026-012,6,10.7,140,2,75,2.5,4
LOG-2026-0013,UTB-FAC-2026-013,6,13.4,247,1,61,1.9,7
LOG-2026-0014,UTB-FAC-2026-014,3,15.0,171,1,34,1.1,8
LOG-2026-0015,UTB-FAC-2026-015,3,20.0,60,2,17,3.1,4
LOG-2026-0016,UTB-FAC-2026-016,1,12.4,166,3,39,6.7,2
LOG-2026-0017,UTB-FAC-2026-017,12,20.9,60,1,12,2.8,8
LOG-2026-0018,UTB-FAC-2026-018,6,24.2,67,3,24,4.2,3
LOG-2026-0019,UTB-FAC-2026-019,16,15.4,183,3,97,8.0,6
LOG-2026-0020,UTB-FAC-2026-020,5,7.0,125,1,49,4.3,5
LOG-2026-0021,UTB-FAC-2026-021,3,27.6,237,4,92,2.0,2
LOG-2026-0022,UTB-FAC-2026-022,3,7.0,216,2,63,3.0,2
LOG-2026-0023,UTB-FAC-2026-023,5,16.8,174,3,31,6.1,8
LOG-2026-0024,UTB-FAC-2026-024,11,16.2,189,2,24,1.8,8
LOG-2026-0025,UTB-FAC-2026-025,2,6.9,224,1,107,8.0,10
LOG-2026-0026,UTB-FAC-2026-026,13,12.0,133,1,68,1.3,4
LOG-2026-0027,UTB-FAC-2026-027,9,15.1,77,2,36,1.6,6
LOG-2026-0028,UTB-FAC-2026-028,5,10.6,125,3,28,3.5,5
LOG-2026-0029,UTB-FAC-2026-029,7,19.1,195,2,88,2.4,2
LOG-2026-0030,UTB-FAC-2026-030,12,14.8,166,1,79,2.4,4
LOG-2026-0031,UTB-FAC-2026-031,1,17.8,270,4,78,8.0,6
LOG-2026-0032,UTB-FAC-2026-032,5,6.3,172,2,32,5.6,1
LOG-2026-0033,UTB-FAC-2026-033,14,11.6,317,2,85,2.3,8
LOG-2026-0034,UTB-FAC-2026-034,10,9.4,175,1,21,8.0,6
LOG-2026-0035,UTB-FAC-2026-035,2,16.7,140,3,74,4.9,1
LOG-2026-0036,UTB-FAC-2026-036,7,10.0,182,4,81,3.5,1
LOG-2026-0037,UTB-FAC-2026-037,7,18.3,262,4,133,3.6,11
LOG-2026-0038,UTB-FAC-2026-038,10,18.9,157,1,58,8.0,2
LOG-2026-0039,UTB-FAC-2026-039,5,4.3,163,1,70,1.5,8
LOG-2026-0040,UTB-FAC-2026-040,2,22.6,158,3,22,2.5,7
LOG-2026-0041,UTB-FAC-2026-041,1,10.2,264,2,86,6.4,3
